activity_id,source_commercial_activity_id,store_name,category_name,category_group,quartiere_id,x_coord,y_coord,address
1008,EP,,Somministrazione,somministrazione,9,1395157.604,4988514.725,CORSO BRAMANTE 58 int. 18
1009,EP,,Somministrazione,somministrazione,2,1395349.569,4988621.191,CORSO BRAMANTE 59
1010,EP,,Somministrazione,somministrazione,15,1393889.982,4994355.467,VIA GIOSUE' BORSI 39
1011,EP,,DIA di somministrazione,somministrazione,1,1395162.797,4991877.165,CORSO BOLZANO 44
1012,EP,,Somministrazione,somministrazione,1,1397284.377,4990885.799,VIA ALFONSO BONAFOUS 2/N
1013,EP,,Somministrazione,somministrazione,1,1397278.921,4990880.003,VIA ALFONSO BONAFOUS 2/Q
1014,EP,,Somministrazione,somministrazione,13,1391672.457,4992144.628,CORSO FILIPPO BRUNELLESCHI 2/F
1015,EP,,Somministrazione,somministrazione,13,1391695.638,4992036.356,CORSO FILIPPO BRUNELLESCHI 13/B
1016,EP,,Somministrazione,somministrazione,10,1394718.78,4988948.463,CORSO BRAMANTE 6/G
1017,EP,,Somministrazione,somministrazione,18,1398155.461,4993464.946,VIA BORRIANA 2/A
1018,EP,,DIA di somministrazione,somministrazione,18,1398329.221,4993533.745,VIA BOLOGNA 188/C
1019,EP,,Somministrazione,somministrazione,20,1398844.265,4994035.794,VIA BOLOGNA 254 bis/C
1020,EP,,Somministrazione,somministrazione,20,1398899.258,4994107.474,VIA BOLOGNA 262/D
1021,EP,,Somministrazione,somministrazione,13,1391619.567,4991924.15,CORSO FILIPPO BRUNELLESCHI 28/B
1022,EP,,DIA di somministrazione,somministrazione,9,1395146.593,4987906.193,VIA BRONI 3/B
1023,EP,,Somministrazione,somministrazione,16,1394676.699,4995929.172,VIA BROSSO 2/D
1024,EP,,Somministrazione,somministrazione,4,1393968.367,4990480.572,VIA PAOLO BRACCINI 33/D
1025,EP,,Somministrazione,somministrazione,4,1393817.715,4990515.652,VIA PAOLO BRACCINI 51/A
1026,EP,,Somministrazione,somministrazione,21,1398560.912,4991274.876,PIAZZA FRANCESCO BORROMINI 86/F
1027,EP,,DIA di somministrazione,somministrazione,18,1397627.529,4993106.477,VIA BOLOGNA 96
1028,EP,,Somministrazione,somministrazione,18,1397986.443,4993356.962,VIA BOLOGNA 125/B
